epoch:1	Accuracy:71.04761904761905	Average precision:74.8363013769744	Average recall:69.32531703400547
epoch:2	Accuracy:83.52380952380952	Average precision:85.5466793109231	Average recall:82.19518428512188
epoch:3	Accuracy:92.57142857142857	Average precision:92.56344177886588	Average recall:91.91211995425994
epoch:4	Accuracy:94.9047619047619	Average precision:94.87065451657713	Average recall:94.66737179057922
epoch:5	Accuracy:94.33333333333333	Average precision:94.49201459194587	Average recall:94.1125162926216
epoch:6	Accuracy:96.42857142857143	Average precision:96.35866734021812	Average recall:96.31666047709271
epoch:7	Accuracy:97.0952380952381	Average precision:97.06147133863226	Average recall:96.98996233229391
epoch:8	Accuracy:95.47619047619048	Average precision:95.47009580299904	Average recall:95.45591561532079
epoch:9	Accuracy:97.42857142857143	Average precision:97.40090464579052	Average recall:97.3212409218624
epoch:10	Accuracy:97.71428571428571	Average precision:97.67514667252388	Average recall:97.65704481475048
epoch:11	Accuracy:97.61904761904762	Average precision:97.57495254541647	Average recall:97.5768509104672
epoch:12	Accuracy:97.9047619047619	Average precision:97.88100916467972	Average recall:97.82898512125567
epoch:13	Accuracy:97.47619047619048	Average precision:97.43832426612747	Average recall:97.44088683858521
epoch:14	Accuracy:97.95238095238095	Average precision:97.94711870175276	Average recall:97.87789890004676
epoch:15	Accuracy:98.0952380952381	Average precision:98.08129989528952	Average recall:98.01288773825488
epoch:16	Accuracy:97.66666666666667	Average precision:97.71070736653405	Average recall:97.55629206334287
epoch:17	Accuracy:98.28571428571429	Average precision:98.28289715824822	Average recall:98.20674065319926
epoch:18	Accuracy:98.28571428571429	Average precision:98.30026346042573	Average recall:98.2178467534119
epoch:19	Accuracy:98.28571428571429	Average precision:98.30468611694629	Average recall:98.21018945761372
epoch:20	Accuracy:98.42857142857143	Average precision:98.44010263647866	Average recall:98.3606084035265
epoch:21	Accuracy:98.0	Average precision:97.9888828240364	Average recall:97.95089239276128
epoch:22	Accuracy:98.28571428571429	Average precision:98.29792655769003	Average recall:98.21613972245521
epoch:23	Accuracy:98.47619047619048	Average precision:98.48040219083535	Average recall:98.40420351272977
epoch:24	Accuracy:98.28571428571429	Average precision:98.27570132563359	Average recall:98.22417515674623
